track.uri,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,time_signature,club_compatible
0JhHZLAZirnxdSBjeFOL1U,0.000914,0.533,222603.0,0.934,0.019,0.368,-7.11,0.0439,142.038,0.596,8.0,4.0,no
5mqbIuIagl2q2HZqTiLSfS,0.237,0.777,227293.0,0.774,2.29e-06,0.0889,-4.294,0.0294,119.949,0.638,8.0,4.0,no
7EkE94I2lqd6Hai0oPnfue,0.0015,0.708,367240.0,0.917,0.562,0.237,-5.831,0.0356,130.004,0.898,6.0,4.0,no
39BfQ2GQEMNGzjSEYkON0k,0.0111,0.618,222747.0,0.976,0.0115,0.622,-3.534,0.0405,139.954,0.811,0.0,4.0,no
6hHKFReuQR9VQp39ev43wY,0.988,0.397,174398.0,0.0906,0.856,0.344,-21.655,0.054,185.167,0.136,5.0,4.0,no
2iMY9PUZnqKw7D7uU1krl6,0.542,0.311,253560.0,0.732,2.06e-06,0.871,-6.961,0.05,78.322,0.297,7.0,4.0,no
41v9oKcLzFw9mvvSMYO6KZ,0.65,0.597,272347.0,0.563,9.83e-06,0.696,-10.136,0.128,83.616,0.532,1.0,4.0,no
44UvBcOChX2hBZSjJ2bIGB,0.000382,0.689,230867.0,0.983,0.00134,0.0641,-4.97,0.0923,132.944,0.386,8.0,4.0,no
1C4b2NM9ViU7PbCIA2PLVT,0.1,0.433,298773.0,0.499,0.00152,0.974,-8.947,0.051,138.661,0.444,7.0,4.0,no
1v24T2ug4TlssYZvI3aL4O,0.939,0.462,176179.0,0.422,0.0327,0.108,-10.381,0.175,87.364,0.0853,6.0,4.0,no
7M7jUlKsNIZt93SgK3UIX2,0.001,0.646,447200.0,0.902,0.129,0.0753,-6.826,0.0313,129.986,0.709,6.0,4.0,no
7otNyOawf0K6pcuOg1sQmH,0.919,0.417,222000.0,0.465,3.11e-06,0.779,-11.101,0.0427,130.938,0.135,8.0,4.0,no
1AewRvtib1xQhhX7ahD1Kc,0.0502,0.802,211827.0,0.516,0.00155,0.106,-7.118,0.0425,114.989,0.911,6.0,4.0,no
4K3m1mwInWni2xblD9Ekoa,0.000243,0.615,200242.0,0.977,0.000762,0.262,-6.806,0.066,144.019,0.734,8.0,4.0,no
1vGCi4RV4ipj2Gx3nUvXI8,0.0154,0.538,273067.0,0.941,0.0,0.955,-4.316,0.0611,119.993,0.292,2.0,4.0,no
7lxADouiWFkwR7ZV2GKUcH,0.117,0.529,293027.0,0.67,0.0,0.334,-4.663,0.0303,141.893,0.286,2.0,4.0,no
2axz5zimxFZduxUx8FDyKO,0.00515,0.766,228107.0,0.752,0.0274,0.122,-8.524,0.0367,109.947,0.841,11.0,4.0,no
7ennVvxVKSCCRsGnPVq9lp,0.305,0.842,231453.0,0.514,3.37e-05,0.0601,-7.565,0.0604,101.001,0.731,1.0,4.0,no
3F6czr26ZwGU5O5CHY04Ma,0.0364,0.598,242000.0,0.714,1.04e-06,0.31,-4.397,0.0273,99.979,0.467,5.0,4.0,no
3qsaaI92lrSF312W0WNPjX,0.973,0.38,129333.0,0.207,0.000105,0.0943,-11.94,0.0424,125.553,0.228,0.0,4.0,no
2GdcDOXu8HLFAP9hxANXb7,0.000346,0.724,426437.0,0.632,0.00058,0.714,-8.433,0.0447,127.989,0.802,0.0,4.0,no
3kD4lJiuF00uQlZyCV3G0k,0.285,0.865,188867.0,0.69,0.0162,0.225,-7.448,0.0443,121.983,0.867,7.0,4.0,no
6c8ZIkGXlKE5vSzrUbHLDr,0.887,0.63,146973.0,0.414,0.00011,0.0975,-8.076,0.0352,81.095,0.474,3.0,3.0,no
54MWIQbjdDibeahgTDGnzd,0.00957,0.6,370353.0,0.732,0.00116,0.0901,-11.278,0.0537,140.024,0.375,9.0,4.0,no
6JKdnGoFXIa47HzfwBh9Aa,0.00013,0.72,450493.0,0.925,0.00089,0.0534,-5.055,0.0506,128.025,0.966,8.0,4.0,no
6ZKflTOb6f8TiOFLmHc8mu,0.356,0.479,241467.0,0.475,0.0,0.968,-7.999,0.0288,135.08,0.389,3.0,4.0,no
6ddCAotfUafdgqbXZLK1uh,0.11,0.637,198750.0,0.806,2.23e-05,0.182,-5.931,0.0397,128.003,0.444,1.0,4.0,no
4iOPzAym1TXeXoVaiVAz6q,0.0157,0.527,273560.0,0.894,0.0,0.915,-6.563,0.0617,146.038,0.473,5.0,4.0,no
3BD9qOuD6urNuTDCp87MrP,0.00301,0.667,203000.0,0.994,4.57e-05,0.0685,-5.527,0.0521,142.016,0.787,1.0,4.0,no
524wvipGqxPKYWxkjf9y46,0.0999,0.758,230484.0,0.888,0.0336,0.661,-4.899,0.0374,120.392,0.771,11.0,4.0,no
28x1syDlcQU3QOFhYIG63K,0.442,0.654,261867.0,0.309,9.77e-06,0.112,-12.454,0.0326,115.972,0.303,6.0,4.0,no
59vizmEc8OPldEmwhqpptl,0.0117,0.434,235089.0,0.695,0.0,0.927,-7.057,0.0339,128.035,0.232,11.0,4.0,no
6QAr8cDN1WdkfMm07b5lnf,0.0359,0.866,197173.0,0.583,0.0,0.0833,-4.783,0.0545,99.982,0.422,5.0,4.0,no
7dIcsO1nGeyzpEaxaDqFDu,0.00286,0.634,247533.0,0.97,0.00651,0.309,-3.138,0.0389,129.133,0.848,8.0,4.0,no
0uXO2GrNiIb1xHT9LUdxZE,0.0771,0.813,195853.0,0.627,0.000616,0.131,-5.018,0.0486,130.011,0.801,11.0,4.0,no
1Y58GzAh0ElLbsIBjy9Ejg,0.0387,0.825,326787.0,0.607,0.0468,0.0332,-7.696,0.0874,113.018,0.919,9.0,4.0,no
