,track.uri,track.name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,time_signature
0,3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie,0.284,0.778,218093.0,0.824,0.0,0.405,-5.892,0.0707,100.024,0.758,10.0,4.0
1,6bK9BH9Ts8Gj5JFvnQkzak,Get Busy,0.614,0.741,211666.0,0.824,0.0,0.158,-4.143,0.0352,100.216,0.725,10.0,4.0
2,77FULy278MulVvGWS8BfK7,When Love Takes Over (feat. Kelly Rowland),0.0165,0.675,191000.0,0.862,0.000427,0.169,-4.614,0.0253,129.967,0.498,11.0,4.0
3,2x7MyWybabEz6Y6wvHuwGE,Just Dance,0.0264,0.822,241933.0,0.739,4.26e-05,0.181,-4.541,0.0311,118.992,0.745,1.0,4.0
4,5rb9QrpfcKFHM1EUbSIurX,Yeah! (feat. Lil Jon & Ludacris),0.0183,0.894,250373.0,0.791,0.0,0.0388,-4.699,0.112,105.018,0.583,2.0,4.0
5,2bLqfJjuC5syrsgDsZfGmn,The Way I Are,0.181,0.731,179120.0,0.807,0.751,0.319,-6.492,0.1,114.759,0.765,3.0,4.0
6,5aEqcblO0Z6JloFJXtxyhe,Everytime We Touch,0.00281,0.633,197124.0,0.976,1.29e-05,0.382,-5.362,0.0519,142.027,0.493,8.0,4.0
7,2VOomzT6VavJOGBeySqaMc,Disturbia,0.0863,0.707,238627.0,0.813,0.0,0.168,-4.515,0.0571,124.921,0.722,11.0,4.0
8,0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,0.0991,0.755,199693.0,0.837,0.0,0.289,-2.718,0.142,120.028,0.714,2.0,4.0
9,0uXO2GrNiIb1xHT9LUdxZE,Sexy Bitch (feat. Akon),0.0771,0.813,195853.0,0.627,0.000616,0.131,-5.018,0.0486,130.011,0.801,11.0,4.0
10,5IVuqXILoxVWvWEPm82Jxr,Crazy In Love (feat. Jay-Z),0.00249,0.646,236133.0,0.77,0.0,0.0715,-6.596,0.226,99.165,0.681,2.0,4.0
11,228BxWXUYQPJrJYHDLOHkj,Gasolina,0.322,0.852,192600.0,0.797,2.69e-06,0.0845,-6.543,0.0614,96.008,0.741,0.0,4.0
12,2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya!,0.103,0.727,235213.0,0.974,0.000532,0.174,-2.261,0.0664,79.526,0.965,4.0,4.0
13,0k2GOhqsrxDTAbFFSdNJjT,Temperature,0.106,0.951,218573.0,0.6,0.0,0.0712,-4.675,0.0685,125.04,0.822,0.0,4.0
14,04KTF78FFg8sOHC1BADqbY,Hot In Herre,0.206,0.956,228240.0,0.745,0.0,0.0615,-4.753,0.12,107.075,0.912,11.0,4.0
15,4RY96Asd9IefaL3X4LOLZ8,In Da Club,0.26,0.902,193467.0,0.72,0.0,0.0749,-2.776,0.347,90.059,0.805,6.0,4.0
